Term/Year Code,College,Dept,Degree,Major code,Major Name,Total,Men,Women,Non-Binary,Caucasian,Asian American,African American,Hispanic,Native American
2005 ,KL ,538 ,PHD ,0002 ,Animal Sciences ,37,20,17,0,20,2,0,1,0
2005 ,KL ,698 ,BS ,0037 ,Food Science & Human Nutrition ,54,22,32,0,31,12,4,1,0
2005 ,KL ,698 ,BS ,0037 ,Food Science & Human Nutrition ,37,20,17,0,30,1,5,0,0
2005 ,KL ,698 ,BS ,0037 ,Food Science & Human Nutrition ,90,20,70,0,64,18,4,3,0
2005 ,KL ,698 ,BS ,0037 ,Food Science & Human Nutrition ,107,1,106,0,90,11,2,3,0
2005 ,KL ,698 ,BS ,0037 ,Food Science & Human Nutrition ,106,36,70,0,82,11,2,5,0
2005 ,KL ,698 ,MS ,0037 ,Food Science & Human Nutrition ,19,2,17,0,7,3,1,0,0
2005 ,KL ,698 ,PHD ,0037 ,Food Science & Human Nutrition ,27,8,19,0,9,1,0,1,0
2005 ,KL ,741 ,BS ,0025 ,Technical Systems Management ,56,52,4,0,49,0,2,3,0
2005 ,KL ,741 ,BS ,0025 ,Technical Systems Management ,4,4,0,0,4,0,0,0,0
2005 ,KL ,741 ,BS ,0025 ,Technical Systems Management ,1,1,0,0,1,0,0,0,0
2005 ,KL ,741 ,BS ,0025 ,Technical Systems Management ,31,29,2,0,28,0,0,3,0
2005 ,KL ,741 ,BSAG ,0029 ,Agr Engineering & Agr Science ,37,34,3,0,33,2,0,1,0
2005 ,KL ,793 ,BS ,0043 ,Agr & Environmental Cmc & Educ ,52,10,42,0,43,0,6,2,0
2005 ,KL ,793 ,BS ,0043 ,Agr & Environmental Cmc & Educ ,9,3,6,0,9,0,0,0,0
2005 ,KL ,793 ,BS ,0043 ,Agr & Environmental Cmc & Educ ,11,5,6,0,9,0,2,0,0
2005 ,KL ,793 ,BS ,0043 ,Agr & Environmental Cmc & Educ ,31,12,19,0,31,0,0,0,0
2005 ,KL ,793 ,BS ,0048 ,Human Development & Family St ,148,5,143,0,120,6,11,7,0
2005 ,KL ,793 ,BS ,0048 ,Human Development & Family St ,68,8,59,1,57,6,2,3,0
2005 ,KL ,793 ,MS ,0181 ,Agricultural Education ,7,1,6,0,6,0,0,0,0
2005 ,KL ,793 ,MS ,0183 ,Human & Community Development ,7,0,7,0,7,0,0,0,0
2005 ,KL ,793 ,NDEG ,0183 ,Human & Community Development ,2,2,0,0,2,0,0,0,0
2005 ,KL ,793 ,PHD ,0183 ,Human & Community Development ,22,4,18,0,8,3,4,1,0
2005 ,KL ,802 ,BS ,0030 ,Crop Sciences ,2,2,0,0,2,0,0,0,0
2005 ,KL ,802 ,BS ,0030 ,Crop Sciences ,24,20,4,0,23,1,0,0,0
2005 ,KL ,802 ,BS ,0030 ,Crop Sciences ,29,28,1,0,28,0,0,0,0
2005 ,KL ,802 ,BS ,0030 ,Crop Sciences ,27,15,11,1,23,2,1,1,0
2005 ,KL ,802 ,BS ,0030 ,Crop Sciences ,12,4,8,0,8,0,1,3,0
2005 ,KL ,802 ,MS ,0030 ,Crop Sciences ,31,11,20,0,19,1,0,0,0
2005 ,KL ,802 ,PHD ,0030 ,Crop Sciences ,24,17,7,0,11,1,0,0,0
2005 ,KL ,875 ,BS ,0023 ,Forestry ,1,1,0,0,1,0,0,0,0
2005 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,10,7,3,0,8,1,0,1,0
