,Term/Year Code,College,Major Name,Total,Men,Women,Non-Binary,Caucasian,Asian American,African American,Hispanic,Native American,Unknown,International
248,2010,KL ,Food Science & Human Nutrition ,439.0,96.0,343.0,0.0,267.0,38.0,17.0,20.0,0.0,0.0,97.0
249,2015,KL ,Food Science & Human Nutrition ,493.0,119.0,374.0,0.0,243.0,68.0,32.0,37.0,0.0,0.0,113.0
250,2005,KL ,Forestry ,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
251,2005,KV ,French ,102.0,29.0,73.0,0.0,74.0,3.0,4.0,6.0,0.0,0.0,15.0
252,2010,KV ,French ,81.0,23.0,58.0,0.0,61.0,1.0,3.0,2.0,0.0,0.0,14.0
253,2015,KV ,French ,42.0,14.0,28.0,0.0,18.0,3.0,2.0,3.0,0.0,0.0,16.0
254,2010,KV ,Gender and Women's Studies ,16.0,0.0,16.0,0.0,9.0,1.0,6.0,0.0,0.0,0.0,0.0
255,2015,KV ,Gender and Women's Studies ,13.0,2.0,11.0,0.0,7.0,0.0,1.0,4.0,1.0,0.0,0.0
256,2005,KR ,General Curriculum ,176.0,67.0,109.0,0.0,121.0,23.0,4.0,15.0,3.0,0.0,10.0
257,2005,KV ,General Curriculum ,3775.0,1700.0,2070.0,5.0,2313.0,465.0,457.0,345.0,14.0,0.0,181.0
258,2010,KT ,General Curriculum ,31.0,10.0,21.0,0.0,20.0,2.0,2.0,3.0,0.0,0.0,4.0
259,2010,KV ,General Curriculum ,87.0,29.0,58.0,0.0,2.0,4.0,64.0,15.0,0.0,0.0,2.0
260,2015,KV ,General Curriculum ,155.0,102.0,53.0,0.0,51.0,39.0,20.0,20.0,0.0,0.0,25.0
261,2005,KP ,General Engineering ,624.0,509.0,115.0,0.0,473.0,79.0,13.0,28.0,1.0,0.0,30.0
262,2010,KP ,General Engineering ,426.0,326.0,99.0,1.0,285.0,61.0,6.0,22.0,0.0,0.0,52.0
263,2015,KP ,General Engineering ,230.0,172.0,58.0,0.0,140.0,34.0,2.0,15.0,0.0,0.0,39.0
264,2005,KV ,Geography ,82.0,57.0,25.0,0.0,50.0,3.0,4.0,8.0,0.0,0.0,17.0
265,2010,KV ,Geography ,70.0,46.0,24.0,0.0,42.0,3.0,4.0,3.0,0.0,0.0,18.0
266,2015,KV ,Geography ,39.0,23.0,16.0,0.0,13.0,1.0,0.0,1.0,0.0,0.0,24.0
267,2015,KV ,Geography & Geographic Info Sc ,37.0,27.0,10.0,0.0,20.0,3.0,5.0,3.0,0.0,0.0,6.0
268,2005,KV ,Geology ,93.0,59.0,34.0,0.0,67.0,2.0,0.0,7.0,1.0,0.0,16.0
269,2010,KV ,Geology ,78.0,51.0,27.0,0.0,51.0,5.0,1.0,3.0,0.0,0.0,18.0
270,2015,KV ,Geology ,112.0,85.0,27.0,0.0,67.0,6.0,2.0,12.0,0.0,0.0,25.0
271,2005,KV ,German ,23.0,8.0,15.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,7.0
272,2010,KV ,German ,21.0,8.0,13.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,7.0
273,2015,KV ,German ,13.0,8.0,5.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,6.0
274,2005,KV ,Germanic Lang & Lit ,23.0,13.0,10.0,0.0,21.0,0.0,1.0,0.0,0.0,0.0,1.0
275,2010,KV ,Germanic Lang & Lit ,15.0,7.0,8.0,0.0,11.0,1.0,0.0,1.0,0.0,0.0,2.0
276,2015,KV ,Germanic Lang & Lit ,10.0,5.0,5.0,0.0,4.0,1.0,0.0,2.0,0.0,0.0,3.0
277,2010,KV ,Global Studies ,205.0,57.0,148.0,0.0,123.0,32.0,10.0,14.0,0.0,0.0,26.0
278,2015,KV ,Global Studies ,202.0,51.0,151.0,0.0,100.0,32.0,10.0,30.0,0.0,0.0,30.0
279,2005,KR ,Graphic Design ,75.0,21.0,54.0,0.0,45.0,17.0,2.0,5.0,0.0,0.0,6.0
280,2010,KR ,Graphic Design ,67.0,25.0,42.0,0.0,46.0,14.0,3.0,1.0,0.0,0.0,3.0
281,2015,KR ,Graphic Design ,94.0,19.0,75.0,0.0,60.0,12.0,2.0,7.0,0.0,0.0,13.0
282,2010,KY ,Health ,79.0,20.0,59.0,0.0,44.0,11.0,7.0,7.0,0.0,0.0,10.0
283,2015,KY ,Health ,4.0,1.0,3.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0
284,2005,KV ,History ,693.0,417.0,275.0,1.0,554.0,30.0,37.0,35.0,1.0,0.0,36.0
285,2010,KV ,History ,599.0,381.0,217.0,1.0,469.0,25.0,24.0,35.0,0.0,0.0,46.0
286,2015,KV ,History ,301.0,173.0,128.0,0.0,197.0,14.0,13.0,42.0,0.0,0.0,35.0
287,2005,KR ,History of Art ,22.0,3.0,19.0,0.0,15.0,2.0,1.0,2.0,0.0,0.0,2.0
