Term/Year Code,College,Dept,Degree,Major code,Major Name,Total,Men,Women,Unknown,Caucasian,Asian American,African American,Hispanic,Native American
2015 ,KN ,616 ,EDM ,0210 ,Educational Psychology ,1,0,1,0,0,0,0,0,0
2015 ,KN ,616 ,MS ,0210 ,Educational Psychology ,2,1,1,0,0,0,0,0,0
2015 ,KN ,616 ,NDEG ,0210 ,Educational Psychology ,1,1,0,0,0,1,0,0,0
2015 ,KN ,616 ,PHD ,0210 ,Educational Psychology ,44,13,31,0,22,5,1,2,1
2015 ,KN ,616 ,PHD ,0210 ,Educational Psychology ,3,0,3,0,0,0,0,0,0
2015 ,KN ,760 ,EDD ,0209 ,Ed Organization and Leadership ,6,2,4,0,5,0,1,0,0
2015 ,KN ,760 ,EDD ,0209 ,Ed Organization and Leadership ,8,4,4,0,7,0,0,1,0
2015 ,KN ,760 ,EDD ,0209 ,Ed Organization and Leadership ,1,0,1,0,1,0,0,0,0
2015 ,KN ,760 ,EDD ,0209 ,Ed Organization and Leadership ,4,3,1,0,4,0,0,0,0
2015 ,KN ,760 ,EDD ,4096 ,Human Resource Education ,1,1,0,0,0,0,1,0,0
2015 ,KN ,760 ,EDD ,5399 ,"Educ Policy, Orgzn & Leadrshp ",2,2,0,0,1,0,1,0,0
2015 ,KN ,760 ,EDD ,5399 ,"Educ Policy, Orgzn & Leadrshp ",1,1,0,0,1,0,0,0,0
2015 ,KN ,760 ,EDM ,0209 ,Ed Organization and Leadership ,13,2,11,0,9,2,0,1,0
2015 ,KN ,760 ,EDM ,0209 ,Ed Organization and Leadership ,13,4,9,0,9,1,2,0,0
2015 ,KN ,760 ,EDM ,0209 ,Ed Organization and Leadership ,11,2,9,0,9,0,0,1,0
2015 ,KN ,760 ,EDM ,0220 ,Educational Policy Studies ,6,4,2,0,2,1,2,1,0
2015 ,KN ,760 ,EDM ,0220 ,Educational Policy Studies ,1,0,1,0,0,0,1,0,0
2015 ,KN ,760 ,EDM ,4096 ,Human Resource Education ,5,3,2,0,3,0,0,1,0
2015 ,KN ,760 ,EDM ,4096 ,Human Resource Education ,1,0,1,0,1,0,0,0,0
2015 ,KN ,760 ,EDM ,5399 ,"Educ Policy, Orgzn & Leadrshp ",7,6,1,0,3,0,2,1,0
2015 ,KN ,760 ,EDM ,5399 ,"Educ Policy, Orgzn & Leadrshp ",1,0,1,0,0,0,0,1,0
2015 ,KN ,760 ,EDM ,5399 ,"Educ Policy, Orgzn & Leadrshp ",18,5,13,0,9,1,5,3,0
2015 ,KN ,760 ,EDM ,5399 ,"Educ Policy, Orgzn & Leadrshp ",22,7,15,0,19,0,2,1,0
2015 ,KN ,760 ,EDM ,5399 ,"Educ Policy, Orgzn & Leadrshp ",13,4,9,0,6,0,4,0,0
2015 ,KN ,760 ,EDM ,5399 ,"Educ Policy, Orgzn & Leadrshp ",1,0,1,0,1,0,0,0,0
2015 ,KN ,760 ,EDM ,5399 ,"Educ Policy, Orgzn & Leadrshp ",2,0,2,0,1,0,0,0,0
2015 ,KN ,760 ,MA ,5399 ,"Educ Policy, Orgzn & Leadrshp ",1,1,0,0,1,0,0,0,0
2015 ,KN ,760 ,MA ,5399 ,"Educ Policy, Orgzn & Leadrshp ",1,0,1,0,0,0,0,0,0
2015 ,KN ,760 ,MS ,0209 ,Ed Organization and Leadership ,1,0,1,0,1,0,0,0,0
2015 ,KN ,760 ,PHD ,0209 ,Ed Organization and Leadership ,9,4,5,0,5,1,0,0,0
2015 ,KN ,760 ,PHD ,0209 ,Ed Organization and Leadership ,11,2,9,0,4,0,2,1,1
2015 ,KN ,760 ,PHD ,0209 ,Ed Organization and Leadership ,3,1,2,0,0,1,2,0,0
2015 ,KN ,760 ,PHD ,0220 ,Educational Policy Studies ,117,43,74,0,19,8,55,15,1
2015 ,KN ,760 ,PHD ,0220 ,Educational Policy Studies ,1,1,0,0,0,0,1,0,0
2015 ,KN ,760 ,PHD ,0220 ,Educational Policy Studies ,1,0,1,0,1,0,0,0,0
2015 ,KN ,760 ,PHD ,4096 ,Human Resource Education ,10,5,5,0,1,0,0,0,0
2015 ,KN ,760 ,PHD ,4096 ,Human Resource Education ,20,7,13,0,3,0,2,0,0
